#separator:tab
#html:true
#tags column:3
#deck column:4
#notetype column:5

Front	Back	Tags	Deck	Note Type
<b>What key settings are configured in Company Information during initial org setup?</b><br><br><img src="Pasted image 20251028150603.png">	Company Information contains:<br><ul><li><b>Default Time Zone</b></li><li><b>Default Language and Locale</b></li><li><b>Currency</b></li><li><b>Data / File Storage</b></li><li><b>License Counts</b></li><li><b>API Usage</b></li><li><b>Organization ID</b></li></ul><br>Found at: <b>Setup → Company Information</b>	Config::OrgSetup	Salesforce Admin	Basic
<b>What does the Org ID look like and where is it found?</b><br><br><img src="Pasted image 20251029143231.png">	The <b>Organization ID</b> is a unique <b>15-character identifier</b>.<br><ul><li>Found in <b>Setup → Company Information</b></li><li>Different for each org environment (Dev, Sandbox, Production)</li><li>Required when contacting Salesforce Support or AppExchange vendors</li></ul>	Config::OrgSetup	Salesforce Admin	Basic
<b>What are the three types of Salesforce Licenses and what does each do?</b><br><br><img src="Pasted image 20251029145557.png"><br><img src="Pasted image 20251029145615.png"><br><img src="Pasted image 20251029145635.png">	<ol><li><b>User License</b> – Baseline of features for the user. Every user must have one.</li><li><b>Feature License</b> – Grants access to additional features beyond the standard user license (e.g. Marketing User, Flow User).</li><li><b>Permission Set License</b> – Gradually grants access to specific features not included in the user's license.</li></ol>	Config::Licenses	Salesforce Admin	Basic
<b>What is the difference between Org Time Zone and User Time Zone, and what issue can arise?</b><br><br><img src="Pasted image 20251029160024.png">	<b>Org Time Zone:</b> Used as the default time zone for new users. Set in Company Information.<br><br><b>User Time Zone:</b> Users can override the org setting from My Settings.<br><br>⚠ <b>Warning:</b> If users have different time zones, they may see case open/close times at different hours. Date and Time fields always display in the <b>user's own time zone setting</b>.	Config::Locale	Salesforce Admin	Basic
<b>Where is the Default Org Time Zone set vs where does a user set their own?</b><br><br><img src="Pasted image 20251029155429.png"><br><img src="Pasted image 20251029155512.png">	<b>Org Default Time Zone:</b> Set at <b>Setup → Company Information</b><br><b>User Time Zone:</b> Set at <b>My Settings → Personal → Language &amp; Time Zone</b> (overrides the org default for that user)	Config::Locale	Salesforce Admin	Basic
<b>What happens when Multi-Currency is enabled in Salesforce?</b><br><br><img src="Pasted image 20251029163126.png">	Multi-Currency allows users to record amounts in different currencies.<br><ul><li>Enabled on the <b>Company Information</b> page</li><li><b>⚠ CANNOT be reversed once enabled</b></li><li>Allows organisation to manage exchange rates</li></ul>	Config::Currency	Salesforce Admin	Basic
<b>What is Advanced Currency Management and what problem does it solve?</b><br><br><img src="p4oWu.png">	Advanced Currency Management stores <b>dated exchange rates</b> to track opportunity amounts at the time they were closed.<br><br>Solves the problem of historical opportunity values being recalculated using current exchange rates, which distorts historical pipeline data.	Config::Currency	Salesforce Admin	Basic
<b>What are Business Hours used for in Salesforce and how are they configured?</b><br><br><img src="Pasted image 20251029201748.png">	Business Hours define the times when support users are available.<br><ul><li>Used in <b>Case Escalation Rules</b> and <b>Entitlement Milestones</b> time calculations</li><li>Multiple Business Hour sets can be created — one is set as Default</li><li>Holidays exclude time from escalation calculations</li><li>Business hours can be set per case record</li></ul>	Config::BusinessHours	Salesforce Admin	Basic
<b>How do you change the Fiscal Year in Salesforce and what are the key warnings?</b><br><br><img src="Pasted image 20251029202825.png">	Fiscal Year is changed at <b>Setup → Company Information → Edit → Fiscal Year</b><br><ul><li><b>Standard</b>: Follows Gregorian calendar (choose starting month)</li><li><b>Custom</b>: Does not follow the 12-month structure</li></ul><b>⚠ Warnings:</b><br>- Custom fiscal year impacts <b>forecasting, reports, and quotas</b><br>- If enabled, <b>cannot be reverted back to Standard</b>	Config::FiscalYear	Salesforce Admin	Basic
<b>Where is Storage Usage viewed and what are the two types?</b><br><br><img src="Pasted image 20251029205450.png">	Storage usage is viewed at: <b>Setup → Data → Storage Usage</b><br><br><b>Data Storage:</b> Used by records (Accounts, Contacts, Leads, etc.)<br><b>File Storage:</b> Used by Attachments, Documents, Files, Content, Chatter (including user photos), and Site.com assets.	Config::Storage	Salesforce Admin	Basic
