#separator:tab
#html:true
#tags column:3
#deck column:4
#notetype column:5

Front	Back	Tags	Deck	Note Type
<b>What is the Organization ID in Salesforce?</b>	A <b>unique 15-character identifier</b> that identifies each Salesforce org. It is different across all environments (Dev, Test, Production) and is required when requesting support from Salesforce or AppExchange vendors.	Config::OrgSetup	Salesforce Admin	Basic
<b>Where is the Organization ID found?</b>	<b>Setup → Company Information</b><br><br>It is also required when logging a support case with Salesforce.	Config::OrgSetup	Salesforce Admin	Basic
<b>What are the three types of Salesforce licenses?</b>	<ol><li><b>User Licenses</b> – Determines the baseline features available and which profiles can be assigned. Every user must have one.</li><li><b>Feature Licenses</b> – Grants access to additional features not in the standard user license (e.g. Marketing User).</li><li><b>Permission Set Licenses</b> – Gradually grants access to features not included in the user's user license.</li></ol>	Config::Licenses	Salesforce Admin	Basic
<b>What does the Default Locale setting control in Salesforce?</b>	The format of <b>Date, Time, Number, Phone Number, Name, and Address</b> fields.<br><br><i>Note: Users can override the company default locale in their own personal settings (My Settings → Personal → Language &amp; Time Zone).</i>	Config::Locale	Salesforce Admin	Basic
<b>What are the three levels of language support in Salesforce?</b>	<ol><li><b>Fully Supported</b> – Complete translation of all UI elements including admin pages.</li><li><b>End-User</b> – Basic translation covering user-facing content, not complex admin setup pages.</li><li><b>Platform-Only</b> – No built-in translation. Admins must manually translate buttons, labels, etc. (DIY).</li></ol><br><b>Warning:</b> A language in use by the company or any user cannot be deactivated.	Config::Language	Salesforce Admin	Basic
<b>What is Multi-Currency in Salesforce and can it be reversed?</b>	Multi-Currency allows users to record amounts in different currencies and report/forecast using corporate or record currency.<br><br><b>⚠ It must be enabled on the Company Information page and CANNOT be reversed once enabled.</b>	Config::Currency	Salesforce Admin	Basic
<b>What is Advanced Currency Management?</b>	Advanced Currency Management allows <b>dated exchange rates</b> to be recorded to track the amounts at the time opportunities were closed.<br><br>This is used to prevent currency conversion distortions in historical opportunity data.	Config::Currency	Salesforce Admin	Basic
<b>What are Business Hours and Holidays used for in Salesforce?</b>	Business Hours and Holidays are used in calculations to determine when to <b>escalate a case</b> or when an <b>entitlement milestone</b> is reached.<br><br>Multiple Business Hour sets can be defined with one set as the default.	Config::BusinessHours	Salesforce Admin	Basic
<b>What are the two types of Fiscal Year in Salesforce?</b>	<ol><li><b>Standard Fiscal Year</b> – Default setting. Follows the Gregorian calendar (12 months). Admin can choose the starting month.</li><li><b>Custom Fiscal Year</b> – Does not follow the normal 12-month calendar structure. Must be enabled manually.<br>⚠ Cannot be reverted back to Standard once enabled.</li></ol>	Config::FiscalYear	Salesforce Admin	Basic
<b>What are the two categories of storage in Salesforce?</b>	<ol><li><b>Data Storage</b> – Used by records (Accounts, Contacts, Opportunities, etc.). Most records use ~2KB.</li><li><b>File Storage</b> – Used by Attachments, Documents, Files, Content, Chatter (including user photos), and Site.com assets.</li></ol><br>Storage limits are based on Salesforce Edition and number of user licenses.	Config::Storage	Salesforce Admin	Basic
